Comment,Designator,Footprint,LCSC Part #
"proteus","BRD1","proteus",""
"5-146280-3","J1","5-146280-3",""
"5103308-3","J2","5103308-3",""
"Conn_01x06","J3","PinHeader_1x06_P2.54mm_Vertical",""
"5103308-3","J4","5103308-3",""
"XH-10AW","J7","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal","C14652"
"XH-10AW","J10","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal","C14652"
"Conn_01x06","J13","PinHeader_1x06_P2.54mm_Vertical",""
"Module:wbo/0.3","M1","wbo",""
"Module:can/0.1","M2","can",""
"Module:wbo/0.3","M3","wbo",""
"Module:can/0.1","M4","can",""
"FORD60PIN","U1","FORD60PIN",""
